Startdatum,Starttid,Slutdatum,Sluttid,Lokal,Plats,Undervisningstyp,"Grupp,Helklass",Kurs,Delkurs,Moment,Person,Egen text,Anmärkning,Utrustning 
2023-11-20,10:00,2023-11-20,15:00,MC529 - Designstudio,,Föreläsning,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,Kursintroduktion. Föreläsning 1: Om design. Intro. uppgifter.,,
2023-11-21,10:00,2023-11-21,15:00,,,"Digital undervisning,Handledning",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,"Zoom Handledning, Drop-In",,
2023-11-22,08:00,2023-11-22,17:00,,,Eget arbete,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,,,,
2023-11-23,10:00,2023-11-23,12:00,MA321 - Nya lärmetoder (runda bord),,Seminarium,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,John Persson,Sem. Norman. grupp 1A,,
2023-11-23,10:00,2023-11-23,12:00,MC322 - O-sittning,,Seminarium,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,Sem. Norman. grupp 1B,,
2023-11-23,14:00,2023-11-23,16:00,MA321 - Nya lärmetoder (runda bord),,Seminarium,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,John Persson,Sem. Norman. Grupp 2a,,
2023-11-23,14:00,2023-11-23,16:00,MC322 - O-sittning,,Seminarium,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,"Sem. Norman, grupp 2B",,
2023-11-24,08:00,2023-11-24,17:00,,,Eget arbete,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,,,,
2023-11-27,10:00,2023-11-27,12:00,MA321 - Nya lärmetoder (runda bord),,Seminarium,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,John Persson,Sem. Typo. Grupp 2B,,
2023-11-27,10:00,2023-11-27,12:00,MC322 - O-sittning,,Seminarium,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,Sem. Typo. Grupp 1A,,
2023-11-27,14:00,2023-11-27,16:00,MA321 - Nya lärmetoder (runda bord),,Seminarium,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,John Persson,Sem. Typo. Grupp 1B,,
2023-11-27,14:00,2023-11-27,16:00,MC322 - O-sittning,,Seminarium,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,Sem. Typo. Grupp 2A,,
2023-11-28,10:00,2023-11-28,12:00,MC529 - Designstudio,,Föreläsning,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,"Föreläsning 2: Stil- och designhistoria, intro. uppgift Poster del 1",,
2023-11-29,10:00,2023-11-29,15:00,"MC418a - Datorsal,MC418b - Datorsal",,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,John Persson,Föreläsning. Workshop Illustrator del 1. Poster del 2,,
2023-11-30,09:00,2023-11-30,14:00,"MC418a - Datorsal,MC418b - Datorsal",,"Föreläsning,Workshop",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,John Persson,Workshop Illustrator del 2,,
2023-12-01,08:00,2023-12-01,17:00,,,Eget arbete,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,,,,
2023-12-04,13:00,2023-12-04,16:00,MC418a - Datorsal,,Handledning,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,Poster,,
2023-12-05,10:00,2023-12-05,12:00,MC418a - Datorsal,,Handledning,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,Poster,,
2023-12-05,13:00,2023-12-05,15:00,MB313- Svarta lådan,,,,"Design, innovation och kreativitet,Medieteknik A,Medieteknik C",,,Sofia Lundmark,MT-Live,,
2023-12-06,08:00,2023-12-06,17:00,,,Eget arbete,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,,,,
2023-12-07,12:00,2023-12-07,18:00,MC424,,"Obligatorisk närvaro,Redovisning",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,John Persson,Obl. Redovisning/kritiksession Poster. Passen är mellan 12-14.30 och 15–17.30.,,
2023-12-08,10:00,2023-12-08,12:00,MC529 - Designstudio,,Föreläsning,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,"Momentintro (1006), Gästföreläsning Andreas Carlsson, Nofont",,
2023-12-08,13:00,2023-12-08,16:00,MC529 - Designstudio,,Workshop,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,"Workshop Visuell konceptualisering, brief",,
2023-12-11,09:00,2023-12-11,12:00,"MC424,MC529 - Designstudio",,Redovisning,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,"Camilla Qvick,John Persson",Presentation/redovisning Visuell konceptualisering,,
2023-12-11,13:00,2023-12-11,16:00,MC529 - Designstudio,,Föreläsning,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,"Intro. Projekt Konceptgestaltning, gruppindelning",,
2023-12-12,13:00,2023-12-12,16:00,,,"Digital undervisning,Handledning",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,"Camilla Qvick,John Persson","Zoom Gruppvis handledning, boka via kurswebben",,
2023-12-13,08:00,2023-12-13,17:00,,,Eget arbete,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,,,,
2023-12-14,13:00,2023-12-14,16:00,,,"Digital undervisning,Handledning",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,"Camilla Qvick,John Persson","Zoom Gruppvis handledning, boka via kurswebben",,
2023-12-15,13:00,2023-12-15,16:00,,,"Digital undervisning,Handledning",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,"Camilla Qvick,John Persson","Zoom Gruppvis handledning, boka via kurswebben",,
2023-12-18,08:00,2023-12-18,17:00,MC529 - Designstudio,,Eget arbete,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,,,,
2023-12-19,09:00,2023-12-19,12:00,MC216 - Lärosalsittning,,"Obligatorisk närvaro,Redovisning",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,"Camilla Qvick,John Persson","Obl. delredovisning/kritiksession med opponering, två koncept. Halvklass.",,
2023-12-19,13:00,2023-12-19,16:00,MC216 - Lärosalsittning,,"Obligatorisk närvaro,Redovisning",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,"Camilla Qvick,John Persson","Obl. delredovisning/kritiksession med opponering, två koncept. Halvklass.",,
2023-12-20,08:00,2023-12-20,17:00,MC529 - Designstudio,,Eget arbete,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,,,,
2023-12-21,08:00,2023-12-21,17:00,MC529 - Designstudio,,Eget arbete,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,,,,
2023-12-22,08:00,2023-12-22,15:00,MC529 - Designstudio,,Eget arbete,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,,Deadline Slutligt koncept,,
2024-01-04,13:00,2024-01-04,16:00,,,"Digital undervisning,Föreläsning",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,"Zoom – Momentintro (1007), Gästföreläsning Andreas Carlsson, Nofont",,
2024-01-05,10:00,2024-01-05,12:00,,,"Digital undervisning,Handledning",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,Zoom – Camilla Qvick+Andreas Carlsson. Gruppvis handledning. Boka via kurswebb.,,
2024-01-05,13:00,2024-01-05,15:00,,,"Digital undervisning,Handledning",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,Zoom – Camilla Qvick+Andreas Carlsson. Gruppvis handledning. Boka via kurswebb.,,
2024-01-08,10:00,2024-01-08,15:00,,,Handledning,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,"Camilla Qvick,John Persson","Zoom Gruppvis handledning, boka via kurswebben",,
2024-01-09,10:00,2024-01-09,15:00,,,Handledning,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,"Camilla Qvick,John Persson","Zoom Gruppvis handledning, boka via kurswebben",,
2024-01-10,08:00,2024-01-10,17:00,,,Eget arbete,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,,,,
2024-01-11,10:00,2024-01-11,15:00,MC424,,Handledning,,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,Camilla Qvick,"Genrep Pitch, boka via kurswebben.",,
2024-01-12,09:00,2024-01-12,12:00,MC424,,"Obligatorisk närvaro,Redovisning",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,"Camilla Qvick,John Persson","Obl. Pitch/presentation för tänkt kund, kritiksession. Halvklass.",,
2024-01-12,13:00,2024-01-12,16:00,MC424,,"Obligatorisk närvaro,Redovisning",,"Design, innovation och kreativitet",Gestaltande och designkommunikation,,"Camilla Qvick,John Persson","Obl. Pitch/presentation för tänkt kund, kritiksession. Halvklass.",,
